"NKE","ADDYY","UA","Dates","date"
55.464939,106.730255,17.360001,"2017-07-28",2017-07-28
55.824181,108.108391,18.110001,"2017-07-31",2017-07-31
56.571026,106.96624,16.23,"2017-08-01",2017-08-01
56.523762,107.315491,16.469999,"2017-08-02",2017-08-02
56.85463,108.382133,16.34,"2017-08-03",2017-08-03
56.495399,111.062897,16.610001,"2017-08-04",2017-08-04
56.523762,110.798592,16.629999,"2017-08-07",2017-08-07
56.211777,110.090645,17.209999,"2017-08-08",2017-08-08
56.62775,107.551476,17.17,"2017-08-09",2017-08-09
55.843094,105.767441,16.82,"2017-08-10",2017-08-10
55.748558,106.900154,16.799999,"2017-08-11",2017-08-11
56.514301,107.919601,17.110001,"2017-08-14",2017-08-14
55.36095,108.004555,16.66,"2017-08-15",2017-08-15
55.342049,107.136139,16.68,"2017-08-16",2017-08-16
54.32103,105.70137,16.280001,"2017-08-17",2017-08-17
51.948158,105.125572,15.64,"2017-08-18",2017-08-18
50.681355,104.776321,15.15,"2017-08-21",2017-08-21
51.172951,105.304909,15.42,"2017-08-22",2017-08-22
50.681355,105.380424,15.55,"2017-08-23",2017-08-23
50.898792,104.757439,15.73,"2017-08-24",2017-08-24
50.955517,105.427628,15.94,"2017-08-25",2017-08-25
50.7948,104.738564,15.78,"2017-08-28",2017-08-28
49.84943,103.756874,15.34,"2017-08-29",2017-08-29
49.688721,104.332664,15.18,"2017-08-30",2017-08-30
50.096626,105.814636,15.1,"2017-08-31",2017-08-31
50.61837,106.72081,15.39,"2017-09-01",2017-09-01
50.286358,106.399872,15.62,"2017-09-05",2017-09-05
50.049187,107.966797,15.8,"2017-09-06",2017-09-06
49.698204,110.628685,15.98,"2017-09-07",2017-09-07
49.517963,110.421021,16.120001,"2017-09-08",2017-09-08
50.305325,111.431038,16.34,"2017-09-11",2017-09-11
50.656311,111.497108,16.25,"2017-09-12",2017-09-12
50.770142,111.525421,16.870001,"2017-09-13",2017-09-13
50.969353,111.044022,16.52,"2017-09-14",2017-09-14
51.102161,111.572617,16.459999,"2017-09-15",2017-09-15
50.751171,111.006256,16.139999,"2017-09-18",2017-09-18
50.589912,110.251114,15.7,"2017-09-19",2017-09-19
50.80809,108.825775,15.24,"2017-09-20",2017-09-20
50.457104,108.957932,15.13,"2017-09-21",2017-09-21
50.504528,108.570915,15.04,"2017-09-22",2017-09-22
50.495052,107.419327,15.39,"2017-09-25",2017-09-25
50.940899,104.021172,15.14,"2017-09-26",2017-09-26
49.963818,104.313782,15.06,"2017-09-27",2017-09-27
49.92588,104.85183,15.07,"2017-09-28",2017-09-28
49.18594,106.852959,15.02,"2017-09-29",2017-09-29
49.204929,108.844658,15.08,"2017-10-02",2017-10-02
48.82547,108.995689,15.26,"2017-10-03",2017-10-03
49.404133,108.080078,15.03,"2017-10-04",2017-10-04
49.498997,107.202217,15.03,"2017-10-05",2017-10-05
49.726654,106.569778,15.46,"2017-10-06",2017-10-06
48.872906,107.966797,15.3,"2017-10-09",2017-10-09
48.882389,108.703064,15.51,"2017-10-10",2017-10-10
48.408081,108.55204,15.15,"2017-10-11",2017-10-11
48.218361,108.382133,15.22,"2017-10-12",2017-10-12
48.360645,107.626984,14.95,"2017-10-13",2017-10-13
48.730614,106.947357,14.98,"2017-10-16",2017-10-16
49.328243,106.305489,15.11,"2017-10-17",2017-10-17
49.612827,106.229973,14.98,"2017-10-18",2017-10-18
49.982792,104.40818,15.02,"2017-10-19",2017-10-19
50.333786,104.11557,15.91,"2017-10-20",2017-10-20
50.902954,103.690796,15.22,"2017-10-23",2017-10-23
50.675282,103.955093,14.83,"2017-10-24",2017-10-24
52.11718,104.313782,14.65,"2017-10-25",2017-10-25
53.891109,105.012299,14.65,"2017-10-26",2017-10-26
53.084782,104.94622,14.4,"2017-10-27",2017-10-27
52.430229,105.219963,14.74,"2017-10-30",2017-10-30
52.164616,105.087814,11.53,"2017-10-31",2017-10-31
52.240501,102.652466,11.29,"2017-11-01",2017-11-01
52.287941,102.963974,10.84,"2017-11-02",2017-11-02
52.847622,102.558075,10.59,"2017-11-03",2017-11-03
53.160667,100.056656,10.97,"2017-11-06",2017-11-06
52.316406,100.434235,10.74,"2017-11-07",2017-11-07
52.895054,101.189377,10.83,"2017-11-08",2017-11-08
53.24604,96.752907,10.99,"2017-11-09",2017-11-09
53.208099,99.811241,11.37,"2017-11-10",2017-11-10
53.037346,101.415924,10.95,"2017-11-13",2017-11-13
53.10376,104.304352,10.92,"2017-11-14",2017-11-14
53.720356,103.530327,11.11,"2017-11-15",2017-11-15
54.289524,102.812935,11.28,"2017-11-16",2017-11-16
56.148815,103.294342,11.73,"2017-11-17",2017-11-17
56.205738,102.397614,12.07,"2017-11-20",2017-11-20
56.338543,103.955093,11.36,"2017-11-21",2017-11-21
56.034988,101.944519,11.67,"2017-11-22",2017-11-22
56.272148,101.415924,11.59,"2017-11-24",2017-11-24
56.566219,100.887314,11.35,"2017-11-27",2017-11-27
56.518784,100.330406,11.51,"2017-11-28",2017-11-28
57.258713,99.037209,12.18,"2017-11-29",2017-11-29
57.315624,98.584129,11.93,"2017-11-30",2017-11-30
56.992023,98.735153,11.73,"2017-12-01",2017-12-01
57.201412,98.886192,11.98,"2017-12-04",2017-12-04
57.505985,98.67852,11.72,"2017-12-05",2017-12-05
56.839741,99.669647,11.55,"2017-12-06",2017-12-06
57.677288,100.462547,11.93,"2017-12-07",2017-12-07
58.343529,100.471992,12.19,"2017-12-08",2017-12-08
58.92411,97.668526,12.18,"2017-12-11",2017-12-11
59.171566,96.252617,12.38,"2017-12-12",2017-12-12
61.198849,93.93055,12.36,"2017-12-13",2017-12-13
61.417751,93.637932,12.45,"2017-12-14",2017-12-14
61.665215,95.695702,13.62,"2017-12-15",2017-12-15
61.684238,96.498047,14.24,"2017-12-18",2017-12-18
61.141731,96.488609,14.1,"2017-12-19",2017-12-19
60.523087,95.50692,13.72,"2017-12-20",2017-12-20
61.646175,94.902794,13.95,"2017-12-21",2017-12-21
60.237564,94.949989,13.8,"2017-12-22",2017-12-22
60.5802,95.488037,14.07,"2017-12-26",2017-12-26
59.913963,95.412521,14.23,"2017-12-27",2017-12-27
59.913963,94.883919,14.14,"2017-12-28",2017-12-28
59.533249,94.223167,13.32,"2017-12-29",2017-12-29
60.427917,95.091583,13.97,"2018-01-02",2018-01-02
60.418404,95.393639,14.4,"2018-01-03",2018-01-03
60.380318,97.036087,14.75,"2018-01-04",2018-01-04
60.894287,98.10273,14.73,"2018-01-05",2018-01-05
61.436787,97.687393,14.78,"2018-01-08",2018-01-08
60.99897,95.421959,14.1,"2018-01-09",2018-01-09
61.122704,94.817841,13.94,"2018-01-10",2018-01-10
61.189335,94.949989,14.13,"2018-01-11",2018-01-11
61.551006,97.168236,14.14,"2018-01-12",2018-01-12
60.361286,97.272072,12.48,"2018-01-16",2018-01-16
60.732491,96.573563,12.39,"2018-01-17",2018-01-17
61.018009,98.801231,12.37,"2018-01-18",2018-01-18
63.968498,105.531464,12.85,"2018-01-19",2018-01-19
63.188046,106.012863,13.28,"2018-01-22",2018-01-22
63.901875,107.844093,13.59,"2018-01-23",2018-01-23
64.720383,108.363251,13.61,"2018-01-24",2018-01-24
64.444382,107.258842,13.31,"2018-01-25",2018-01-25
64.758476,108.48597,13.27,"2018-01-26",2018-01-26
64.320648,107.626984,13.18,"2018-01-29",2018-01-29
64.082718,108.098946,12.99,"2018-01-30",2018-01-30
64.929794,109.552597,12.85,"2018-01-31",2018-01-31
64.387276,108.29718,12.7,"2018-02-01",2018-02-01
63.978012,105.333229,12.41,"2018-02-02",2018-02-02
61.284508,100.660782,11.87,"2018-02-05",2018-02-05
